Region_ID, Region_name, Region_class, Process_ID, Height_mean, Ping_S, Ping_E, Dist_M, Date_M, Time_M, Lat_M, Lon_M, Standard_deviation, Num_targets, TS_mean, Target_range_mean, Speed_4D_mean_unsmoothed, Fish_track_change_in_range, Time_in_beam, Distance_3D_unsmoothed, Thickness_mean, Exclude_below_line_range_mean, Target_depth_mean, Target_depth_max, Target_depth_min, Fish_track_change_in_depth,Site
14," ""Region 14"""," ""38kHz TargetsRedSnapper""",26,0.216809,3242,3250,0.43397,20191110, 21:20:16.5000,29.94339214,-86.14566918,0.000112047,5,-40.026779,38.041452,1.4805,-0.083075,1.036,1.5338,0.216809,38.706292,37.978367,38.029561,37.951145,-0.072678,Site2PipeJosh
15," ""Region 15"""," ""38kHz TargetsRedSnapper""",26,0.216809,3249,3259,0.435258,20191110, 21:20:17.5290,29.94339667,-86.14569333,0.000166606,10,-34.485135,32.592204,2.8264,-0.240566,1.268,3.5839,0.216809,38.693284,32.56666,32.663706,32.44457,-0.219136,Site2PipeJosh
55," ""Region 55"""," ""38kHz VermillionSnap""",26,0.216809,1509,1518,0.184277,20191110, 21:16:29.7550,29.94339981,-86.14546021,1.44E-05,6,-42.438687,24.856057,1.5764,-0.366207,1.116,1.7592,0.216809,37.74062,24.825545,25.021827,24.647106,-0.374721,Site2PipeJosh
56," ""Region 56"""," ""38kHz VermillionSnap""",26,0.216809,1509,1519,0.184432,20191110, 21:16:29.8710,29.94340034,-86.14545729,4.59E-05,6,-42.228942,27.221801,2.0329,-0.162845,1.237,2.5147,0.216809,37.807484,27.205297,27.306109,27.145578,-0.16053,Site2PipeJosh
4," ""Region 4"""," ""38kHz TargetsRedSnapper""",28,0.433619,135,140,0.039461,20191111, 17:04:06.7890,29.93736167,-86.15654667,0.000456621,6,-29.418947,34.28525,4.2588,-0.223396,0.674,2.8705,0.433619,40.310755,34.2468,34.342566,34.110739,-0.231826,Site3Coop25
5," ""Region 5"""," ""38kHz TargetsRedSnapper""",28,0.419342,173,198,0.046942,20191111, 17:04:12.5790,29.93745101,-86.15664655,0.000257879,24,-34.116503,38.200156,4.0846,-0.331117,3.009,12.2905,0.419342,38.830966,38.167699,38.295298,37.960908,-0.33439,Site3Coop25
6," ""Region 6"""," ""38kHz TargetsRedSnapper""",28,0.071035,187,199,0.048745,20191111, 17:04:13.5270,29.93747,-86.15667333,3.17E-05,5,-35.358846,38.654131,1.7283,-0.393486,1.447,2.5008,0.071035,38.618453,38.627134,38.785938,38.328973,-0.456965,Site3Coop25
7," ""Region 7"""," ""38kHz TargetsRedSnapper""",28,0.417911,195,201,0.049371,20191111, 17:04:14.1330,29.93747583,-86.15668332,1.33E-05,7,-38.512722,36.334569,3.3129,-0.170069,0.82,2.7166,0.417911,38.482303,36.319044,36.403439,36.190068,-0.213372,Site3Coop25
9," ""Region 9"""," ""38kHz TargetsRedSnapper""",28,0.433619,1047,1058,0.183128,20191111, 17:06:05.3820,29.93897888,-86.15776885,3.78E-06,5,-48.21607,26.719441,1.8468,-0.253604,1.466,2.7074,0.433619,39.234287,26.696109,26.882319,26.622294,-0.260026,Site3Coop25
10," ""Region 10"""," ""38kHz TargetsRedSnapper""",28,0.433619,2299,2318,0.309594,20191111, 17:08:46.0690,29.93725125,-86.15665854,0.000332524,17,-28.664853,37.057034,3.6494,-0.184448,2.264,8.2623,0.433619,39.435103,37.010307,37.131036,36.939566,-0.174375,Site3Coop25
11," ""Region 11"""," ""38kHz TargetsRedSnapper""",28,0.433619,2341,2349,0.313959,20191111, 17:08:52.0640,29.93720167,-86.15659833,0.000146521,9,-31.626487,37.824327,5.7624,-0.20764,0.942,5.4282,0.433619,39.392698,37.808375,37.922217,37.68693,-0.235287,Site3Coop25
25," ""Region 25"""," ""38kHz VermillionSnap""",28,0.433619,262,268,0.058634,20191111, 17:04:22.1710,29.93755333,-86.15683667,3.04E-05,5,-39.714382,30.615238,4.0415,-0.499423,0.701,2.8331,0.433619,40.245766,30.603429,30.830074,30.344996,-0.485077,Site3Coop25
26," ""Region 26"""," ""38kHz VermillionSnap""",28,0.433619,260,269,0.058634,20191111, 17:04:22.0460,29.93755333,-86.15683667,0.000118081,9,-34.460146,32.847713,4.4529,-0.367798,1.084,4.8269,0.433619,40.169232,32.806532,33.018162,32.659804,-0.355561,Site3Coop25
27," ""Region 27"""," ""38kHz VermillionSnap""",28,0.433619,262,280,0.06023,20191111, 17:04:22.8980,29.93756565,-86.15686376,7.09E-05,14,-36.050772,31.413065,3.3138,-1.018781,2.136,7.0783,0.433619,40.29608,31.388246,31.790448,30.767621,-1.022828,Site3Coop25
28," ""Region 28"""," ""38kHz VermillionSnap""",28,0.433619,268,281,0.060893,20191111, 17:04:23.2460,29.93757204,-86.15687415,3.96E-05,7,-38.561751,27.302276,2.9107,-0.400667,1.544,4.4941,0.433619,40.322836,27.270543,27.635329,26.860623,-0.360204,Site3Coop25
29," ""Region 29"""," ""38kHz VermillionSnap""",28,0.427309,263,282,0.060437,20191111, 17:04:23.0070,29.93756765,-86.15686701,7.60E-05,17,-36.793274,29.851503,3.4288,-0.800347,2.276,7.8039,0.427309,40.300818,29.838757,30.293378,29.492828,-0.797891,Site3Coop25
30," ""Region 30"""," ""38kHz VermillionSnap""",28,0.433619,268,285,0.061373,20191111, 17:04:23.5030,29.93757667,-86.15688167,3.74E-05,14,-38.695579,27.803227,3.1569,-0.614584,2.048,6.4653,0.433619,40.314818,27.785618,28.064182,27.461802,-0.602381,Site3Coop25
31," ""Region 31"""," ""38kHz VermillionSnap""",28,0.425727,267,287,0.061373,20191111, 17:04:23.6270,29.93757667,-86.15688167,0.000190379,14,-34.640469,29.0434,2.7791,-1.061772,2.412,6.7032,0.425727,40.294522,29.02656,29.617726,28.513412,-1.104314,Site3Coop25
32," ""Region 32"""," ""38kHz VermillionSnap""",28,0.433619,266,285,0.061138,20191111, 17:04:23.3750,29.93757441,-86.156878,7.29E-05,10,-39.091981,28.398137,2.8635,-0.783961,2.285,6.5432,0.433619,40.313317,28.382294,28.707023,27.956629,-0.750394,Site3Coop25
4," ""Region 4"""," ""38kHz TargetsRedSnapper""",30,0.433619,1263,1269,0.202819,20191111, 20:09:14.2180,29.94416333,-86.14935333,3.03E-05,7,-33.233693,37.359604,4.7133,-0.007494,0.708,3.337,0.433619,38.2177,37.29639,37.307156,37.278571,-0.010057,Site4Coop35
15," ""Region 15"""," ""38kHz TargetsRedSnapper""",30,0.433619,2296,2298,0.299886,20191111, 20:11:27.6670,29.94319833,-86.14798333,0.000133953,3,-37.470217,36.460819,2.3298,0.060008,0.249,0.5801,0.433619,37.681363,36.396304,36.447271,36.353203,0.058834,Site4Coop35
